round,reward
1,82.41353226246028
2,50.0
3,124.86824036936956
4,77.24512560749933
5,52.712447752521435
6,106.82611624418584
7,232.1648051222995
8,0
9,100
10,0
11,100
12,100
13,50.0
14,201.09160621958438
15,83.8324634138403
16,268.3537847215937
17,50.0
18,100
19,50.0
20,100
21,50.0
22,100
23,50.0
24,100
25,80.44417575810415
26,264.86071701847857
27,50.0
28,100
29,97.46334720960516
30,100
31,72.73087250214816
32,50.0
33,50.0
34,50.0
35,100
36,0
37,100
38,0
39,100
40,0
41,100
42,51.2273573250414
43,100
44,58.27398302263183
45,339.1111911722446
46,120.02117434150183
47,100
48,50.0
49,180.00410094731262
50,50.0
51,145.98704438518416
52,50.0
53,138.00836179635428
54,50.0
55,100
56,50.0
57,150.77015043070702
58,50.0
59,100
60,50.0
61,71.66185307755829
62,50.0
63,50.0
64,50.0
65,100
66,0
67,100
68,0
69,268.7458486723115
70,0
71,100
72,50.0
73,306.6504980657688
74,50.0
75,123.32585397369712
76,100
77,90.89001317081298
78,50.0
79,247.43761006849272
80,65.53813604112061
81,100
82,140.36134306666264
83,100
84,79.81314083006434
85,100
86,180.96254644706843
87,134.9147336457737
88,50.0
89,154.57548760008302
90,50.0
91,67.68001272484958
92,50.0
93,98.909212579795
94,50.0
95,158.74795035779584
96,0
97,103.02776133088557
98,0
99,204.39118671853626
100,0
101,326.3735292288578
102,75.13522869627208
103,100
104,87.26321076497862
105,102.38178883381259
106,50.0
107,100
108,50.0
109,161.56742635909347
110,117.18462951708547
111,100
112,58.55704875991798
113,100
114,50.0
115,119.05158024626854
116,143.9498097002651
117,50.0
118,61.42090819507353
119,115.12718831420446
120,198.98378045804392
121,82.18233520264643
122,50.0
123,55.44333986348651
124,50.0
125,245.86754232531695
126,0
127,100
128,0
129,100
130,0
131,100
132,100
133,50.0
134,137.34811251497126
135,100
136,79.10416853246986
137,189.81077803053546
138,77.88079687174476
139,100
140,50.35715588559492
141,313.94450913915
142,96.42516539266197
143,154.43795470247906
144,64.99802542888544
145,155.8460786980967
146,50.0
147,100
148,50.0
149,100
150,50.0
151,113.68901688501688
152,50.0
153,110.20903311603169
154,100
155,50.0
156,240.0956509516704
157,50.0
158,100
159,60.85131678497529
160,211.08197903779566
161,70.76249180205892
162,50.0
163,100
164,50.0
165,200.86104440872816
166,52.452132863789785
167,224.41876394044397
168,96.50274467918302
169,123.7625897309107
170,50.0
171,101.02657182902344
172,100
173,0
174,0
175,58.3996968236111
176,100
177,0
178,0
179,0
180,50.0
181,50.0
182,50.0
183,56.52030627490685
184,107.45609589627475
185,0
186,125.43358775138596
187,0
188,208.67513082175049
189,0
190,50.0
191,50.0
192,100
193,100
194,100
195,88.55620710535433
196,100
197,54.593920487678766
198,100
199,50.757667027244764
200,100
201,50.0
202,145.72963354232212
203,100.22068529999875
204,100
205,182.36392570387804
206,50.0
207,71.69100929877514
208,100
209,50.0
210,137.73449809106606
211,50.0
212,59.42197907486595
213,100
214,65.57367133497463
215,50.0
216,50.0
217,100
218,140.38229889665166
219,100.9077701521681
220,200.4478859476196
221,50.0
222,100
223,50.0
224,50.0
225,236.761342496854
226,124.24550320339775
227,55.78667600146789
228,100
229,60.56872869370386
230,227.31942851867666
231,50.0
232,100
233,0
234,100
235,0
236,100
237,0
238,100
239,0
240,164.28325072244036
241,50.0
242,60.25630565386394
243,107.00445075149975
244,186.60167905719433
245,50.0
246,100
247,82.72016358378366
248,200.73848265099514
249,50.0
250,228.15492942621196
251,50.0
252,130.51082044322663
253,0
254,126.55569905815004
255,148.22691067885972
256,0
257,0
258,100
259,0
260,0
261,88.29997203854454
262,100
263,50.0
264,181.1722622590704
265,145.57943389026426
266,100
267,50.721513402571134
268,100
269,71.85720836422034
270,50.0
271,62.3170648355226
272,59.240713360253544
273,50.0
274,100
275,0
276,0
277,104.17076776984658
278,232.63183224726086
279,0
280,238.1641404791985
281,50.0
282,100
283,50.0
284,100
285,50.0
286,211.24043187702603
287,53.65101285516217
288,50.0
289,184.87931458690386
290,100
291,50.0
292,128.8425358104629
293,50.0
294,100
295,120.49169498519598
296,251.33065919629448
297,50.0
298,182.9097059752463
299,70.73562452058297
300,139.84209984908443
301,50.0
302,77.78780371426765
303,50.0
304,205.1561516803767
305,121.81719237701107
306,190.18860097200624
307,50.0
308,132.08001160285573
309,50.0
310,100
311,89.00882796516004
312,50.0
313,100
314,0
315,0
316,100
317,0
318,0
319,50.0
320,100
321,50.0
322,151.0657339817988
323,73.81753203677786
324,266.00591425542825
325,100
326,80.59892069127051
327,50.0
328,100
329,110.55674683958739
330,100
331,50.0
332,50.0
333,50.0
334,100
335,72.60592482562292
336,100
337,177.48592387398577
338,164.3157174874936
339,50.0
340,384.5018442502951
341,121.54505664901069
342,188.9062129589267
343,50.0
344,100
345,50.0
346,161.2483380905776
347,50.0
348,176.89792765568188
349,103.84311122716079
350,215.8082788219499
351,50.0
352,100
353,0
354,118.45486297960693
355,0
356,229.71779960089617
357,0
358,100
359,0
360,0
361,50.0
362,50.0
363,50.0
364,174.20907467025808
365,53.67496594005616
366,173.8172490718921
367,100
368,75.4808274395105
369,50.0
370,140.7305662690978
371,147.7288000673499
372,71.1273485060104
373,100
374,50.0
375,100
376,51.60214439509195
377,100
378,91.30351338106244
379,311.77323912204264
380,50.0
381,148.9359689313995
382,100
383,0
384,0
385,0
386,79.29089933309294
387,50.0
388,250.96781858566888
389,0
390,0
391,50.0
392,118.89123257655143
393,136.1389333878707
394,250.37982787351012
395,0
396,0
397,100
398,0
399,119.64937821590104
400,0
